Entry,Cross-reference (Pfam),Cross-reference (InterPro)
P14900,PF02875;PF08245;,IPR036565;IPR004101;IPR036615;IPR013221;IPR005762;
P22188,PF01225;PF02875;PF08245;,IPR036565;IPR004101;IPR036615;IPR013221;IPR000713;IPR035911;IPR005761;
P11880,PF01225;PF02875;PF08245;,IPR036565;IPR004101;IPR036615;IPR013221;IPR000713;IPR035911;IPR005863;
P17443,PF04101;PF03033;,IPR006009;IPR007235;IPR004276;
P22634,PF01177;,IPR015942;IPR001920;IPR018187;IPR033134;IPR004391;
P06722,PF02976;,IPR004230;IPR011337;IPR037057;IPR011335;
P23367,PF01119;PF08676;,IPR014762;IPR020667;IPR002099;IPR013507;IPR003594;IPR036890;IPR038973;IPR014790;IPR037198;IPR020568;IPR014721;
P23909,PF01624;PF05188;PF05192;PF05190;PF00488;,IPR005748;IPR007695;IPR017261;IPR000432;IPR007861;IPR007696;IPR016151;IPR036187;IPR007860;IPR036678;IPR027417;
P08337,PF00293;,IPR003561;IPR020476;IPR015797;IPR020084;IPR000086;
P17802,PF10576;PF00633;PF00730;PF14815;,IPR005760;IPR011257;IPR004036;IPR003651;IPR004035;IPR003265;IPR000445;IPR023170;IPR029119;IPR015797;
Q47005,PF00126;PF03466;,IPR005119;IPR000847;IPR036388;IPR036390;
P11458,PF02445;,IPR003473;IPR036094;IPR023513;
P30011,PF01729;PF02749;,IPR013785;IPR004393;IPR027277;IPR036068;IPR037128;IPR002638;IPR022412;
P18843,PF02540;,IPR022310;IPR003694;IPR022926;IPR014729;
P0A761,PF04131;,IPR013785;IPR007260;IPR011060;
P33937,PF04879;PF00384;PF01568;,IPR009010;IPR006657;IPR006656;IPR006963;IPR027467;IPR010051;IPR006311;IPR019546;
P0ABL5,PF03264;,IPR011031;IPR036280;IPR024717;IPR005126;IPR038266;IPR011885;
P0A9I5,PF03927;,IPR005623;
P33934,PF13237;PF12801;,IPR017896;IPR017900;IPR011886;
P09152,PF00384;PF01568;PF14710;,IPR009010;IPR037943;IPR006657;IPR006656;IPR006963;IPR006655;IPR027467;IPR006468;IPR028189;
P11349,PF13247;PF14711;,IPR017896;IPR029263;IPR038262;IPR006547;
P11350,PF02665;,IPR023234;IPR036197;IPR003816;
P0AF26,PF02613;,IPR020945;IPR003765;IPR036411;
P31802,PF00196;PF00072;,IPR011006;IPR016032;IPR001789;IPR000792;
P27896,PF00672;PF02518;PF07730;PF13675;,IPR003660;IPR003594;IPR036890;IPR005467;IPR029095;IPR016380;IPR011712;
P19317,PF02613;,IPR020945;IPR003765;IPR036411;
P0AFA2,PF00672;PF02518;PF07730;PF13675;,IPR003660;IPR003594;IPR036890;IPR005467;IPR029095;IPR016380;IPR011712;
P19318,PF13247;PF14711;,IPR017896;IPR029263;IPR038262;IPR006547;
P19319,PF00384;PF01568;PF14710;,IPR009010;IPR037943;IPR006657;IPR006656;IPR006963;IPR006655;IPR027467;IPR006468;IPR028189;
P0A763,PF00334;,IPR034907;IPR036850;IPR001564;IPR023005;
P50465,PF01149;PF06831;PF06827;,IPR015886;IPR015887;IPR023713;IPR012319;IPR035937;IPR010979;IPR000214;IPR010663;
P68739,PF04493;,IPR007581;
P38489,PF00881;,IPR033878;IPR029479;IPR000415;
P31600,PF13283;,IPR025137;IPR013026;IPR011990;IPR019734;
P17117,PF00881;,IPR016446;IPR029479;IPR000415;
P0A9G2,PF00126;PF03466;,IPR005119;IPR000847;IPR036388;IPR036390;
P33590,PF00496;,IPR011980;IPR030678;IPR039424;IPR023765;IPR000914;
P33593,PF00005;,IPR003593;IPR003439;IPR017871;IPR015857;IPR014138;IPR027417;
P33594,PF00005;,IPR003593;IPR003439;IPR017871;IPR015858;IPR014137;IPR027417;
P0A6Z6,PF08753;PF01402;,IPR027271;IPR013321;IPR002145;IPR022988;IPR014160;IPR010985;IPR014864;
P0AFB1,PF07719;PF13181;,IPR023605;IPR013026;IPR011990;IPR013105;IPR019734;
P31062,PF07471;,IPR009061;IPR010906;IPR036388;
Q46877,PF00258;PF00753;PF00301;,IPR023957;IPR008254;IPR029039;IPR001279;IPR036866;IPR024934;IPR016440;IPR024935;
P00452,PF03477;PF02867;PF00317;,IPR005144;IPR013346;IPR000788;IPR013509;IPR008926;IPR039718;
P69924,PF00268;,IPR009078;IPR012348;IPR033909;IPR030475;IPR000358;
P28903,PF03477;PF13597;,IPR005144;IPR019777;IPR001150;IPR012833;
P39452,PF02867;PF00317;PF08343;,IPR013346;IPR026459;IPR000788;IPR013509;IPR013554;IPR008926;IPR039718;
P37146,PF00268;,IPR009078;IPR012348;IPR026494;IPR033909;IPR030475;IPR000358;
P0A9N8,,IPR013785;IPR012837;IPR034457;IPR001989;IPR007197;
P0AC65,PF00462;,IPR011909;IPR002109;IPR036249;
P0AB83,PF10576;PF00633;PF00730;,IPR011257;IPR004036;IPR003651;IPR004035;IPR003265;IPR000445;IPR023170;IPR005759;
P0A776,PF00293;,IPR020476;IPR015797;IPR020084;IPR000086;IPR022927;
P0AFC7,PF01058;,IPR006137;IPR006138;
P0AFD1,,IPR002023;IPR036249;
P33602,PF04879;PF00384;PF01568;PF10588;,IPR036010;IPR001041;IPR009010;IPR006657;IPR006656;IPR006963;IPR000283;IPR010228;IPR019574;
P0AFE4,PF00420;,IPR001133;IPR039428;
P0AFF6,PF13184;PF08529;PF00575;,IPR010995;IPR015946;IPR025249;IPR009019;IPR012340;IPR030842;IPR036555;IPR022967;IPR003029;IPR013735;IPR010214;IPR010213;
P0A780,PF01029;,IPR035926;IPR011605;IPR006027;
P0AFG0,PF00467;PF02357;,IPR005824;IPR006645;IPR036735;IPR014722;IPR001062;IPR015869;IPR008991;
P42641,PF01018;PF01926;,IPR031167;IPR035101;IPR014100;IPR006074;IPR006169;IPR036726;IPR006073;IPR027417;
P0A910,PF00691;PF01389;,IPR011250;IPR006664;IPR002368;IPR006665;IPR006690;IPR036737;IPR000498;
P02931,PF00267;,IPR033900;IPR023614;IPR001897;IPR001702;IPR013793;
P0AA16,PF00072;PF00486;,IPR011006;IPR001867;IPR016032;IPR001789;IPR039420;IPR036388;
P0A915,PF03922;,IPR011250;IPR005618;
P76027,PF00005;PF08352;,IPR003593;IPR003439;IPR017871;IPR013563;IPR027417;
P77737,PF00005;PF08352;,IPR003593;IPR003439;IPR017871;IPR013563;IPR027417;
P0C0L2,PF02566;,IPR015946;IPR003718;IPR036102;IPR019904;
P0AFI0,PF02775;PF00205;PF02776;,IPR029035;IPR017660;IPR029061;IPR012000;IPR012001;IPR011766;
P0ACQ4,PF00126;PF03466;,IPR005119;IPR000847;IPR036388;IPR036390;
P76079,PF05138;,IPR012347;IPR009078;IPR007814;IPR011882;
P76080,PF01883;,IPR034904;IPR002744;IPR011883;
P77467,PF00378;,IPR029045;IPR001753;IPR014748;IPR011968;
P76086,PF07848;PF08223;,IPR012906;IPR013225;IPR011965;IPR036388;
P00903,PF00117;,IPR029062;IPR017926;IPR006221;
P05041,PF04715;PF00425;,IPR005801;IPR019999;IPR006805;IPR015890;IPR005802;
P28305,PF01063;,IPR017824;IPR001544;IPR018300;IPR036038;
P0A912,PF00691;,IPR006664;IPR006665;IPR006690;IPR036737;IPR039001;IPR014169;
P31057,PF02548;,IPR003700;IPR015813;IPR040442;
P31663,PF02569;,IPR004821;IPR003721;IPR014729;
P0A9J4,PF02558;PF08546;,IPR008927;IPR013328;IPR003710;IPR013752;IPR013332;IPR036291;
P0AFI2,PF03989;PF00521;,IPR006691;IPR035516;IPR013760;IPR002205;IPR013758;IPR013757;IPR005742;
P20083,PF00204;PF00986;PF02518;PF01751;,IPR002288;IPR003594;IPR036890;IPR020568;IPR014721;IPR001241;IPR013760;IPR013759;IPR013506;IPR018522;IPR005737;IPR006171;
P76577,PF06832;PF00912;PF00905;,IPR012338;IPR001264;IPR023346;IPR011815;IPR009647;IPR036950;IPR001460;
P19624,PF04166;,IPR037510;IPR005255;
P40191,PF08543;,IPR023479;IPR013749;IPR004625;IPR029056;
P37095,PF12404;PF00883;,IPR001346;IPR011356;IPR008330;IPR000819;
P15288,PF07687;PF01546;,IPR002933;IPR011650;IPR001160;
P04825,PF11940;PF17432;PF01433;,IPR038438;IPR001930;IPR014782;IPR012779;IPR024601;IPR037144;IPR035414;IPR027268;
P21165,PF00557;,IPR029149;IPR036005;IPR000994;IPR001131;IPR022846;
P29745,PF07687;PF01546;,IPR001261;IPR036264;IPR002933;IPR011650;IPR010161;
Q57083,PF00126;PF03466;,IPR005119;IPR000847;IPR036388;IPR036390;
P0A796,PF00365;,IPR022953;IPR012003;IPR012828;IPR015912;IPR000023;IPR035966;
P0A9N4,PF04055;,IPR013785;IPR034457;IPR012839;IPR012838;IPR034465;IPR001989;IPR007197;
P09373,PF01228;PF02901;,IPR005949;IPR019777;IPR001150;IPR004184;
P0A6T1,PF00342;,IPR001672;IPR023096;IPR018189;IPR035476;IPR035482;
P0A799,PF00162;,IPR001576;IPR015911;IPR015824;IPR036043;
P36938,PF02878;PF02879;PF02880;PF00408;,IPR005844;IPR016055;IPR005845;IPR005846;IPR005843;IPR036900;IPR016066;IPR005852;
P08312,PF02912;PF01409;,IPR006195;IPR004529;IPR004188;IPR022911;IPR002319;IPR010978;
P07395,PF03483;PF03484;PF03147;PF01588;,IPR005146;IPR009061;IPR005121;IPR036690;IPR012340;IPR004532;IPR020825;IPR002547;IPR033714;IPR005147;
P16677,PF00005;,IPR003593;IPR003439;IPR017871;IPR012693;IPR027417;
P16686,PF05845;,IPR038058;IPR008772;
P16687,PF05861;,IPR008773;
P16679,PF00005;,IPR003593;IPR003439;IPR017871;IPR012701;IPR027417;
P16692,PF12706;,IPR001279;IPR035682;IPR017693;IPR036866;
P00634,PF00245;,IPR017849;IPR001952;IPR018299;IPR017850;
P0AFJ5,PF00072;PF00486;,IPR011006;IPR001867;IPR011879;IPR001789;IPR039420;IPR036388;
P02932,PF00267;,IPR033900;IPR023614;IPR001897;IPR001702;IPR013793;
P23836,PF00072;PF00486;,IPR011006;IPR001867;IPR001789;IPR039420;IPR036388;
P0A9K7,PF01895;,IPR028366;IPR038078;IPR026022;
P45548,PF02126;,IPR017947;IPR032466;IPR001559;
P00914,PF00875;PF03441;,IPR036134;IPR036155;IPR005101;IPR002081;IPR018394;IPR006050;IPR014729;
P0ADI0,PF02796;PF00239;,IPR009057;IPR006118;IPR006119;IPR036162;IPR006120;
P0A921,PF02253;,IPR003187;IPR036541;
P07000,PF12146;,IPR029058;IPR022742;
P0A7A7,PF01553;,IPR022284;IPR028354;IPR002123;
P05055,PF00013;PF03726;PF01138;PF03725;PF00575;,IPR001247;IPR015847;IPR036345;IPR004087;IPR004088;IPR036612;IPR012340;IPR012162;IPR027408;IPR015848;IPR036456;IPR020568;IPR022967;IPR003029;
P07001,PF01262;PF05222;PF12769;,IPR008143;IPR008142;IPR007886;IPR007698;IPR036291;IPR026255;IPR024605;
P00582,PF01367;PF02739;PF00476;PF01612;,IPR002562;IPR020046;IPR036279;IPR002421;IPR019760;IPR001098;IPR020045;IPR018320;IPR002298;IPR008918;IPR029060;IPR012337;IPR036397;
P21189,PF00136;PF03104;,IPR006172;IPR017964;IPR006133;IPR006134;IPR023211;IPR012337;IPR036397;
P69874,PF00005;PF08402;,IPR003593;IPR017879;IPR003439;IPR017871;IPR008995;IPR027417;IPR005893;IPR013611;
P31133,PF13416;,IPR006059;IPR001188;
P31134,PF00005;PF08402;,IPR003593;IPR003439;IPR017871;IPR008995;IPR027417;IPR005893;IPR013611;
P0A8N7,PF00152;,IPR004364;IPR006195;IPR004525;IPR018149;
P07003,PF02775;PF00205;PF02776;,IPR029035;IPR029061;IPR012000;IPR012001;IPR000399;IPR011766;
P00864,PF00311;,IPR021135;IPR022805;IPR018129;IPR033129;IPR015813;
P55798,PF00149;,IPR004843;IPR029052;IPR006186;
P23869,PF00160;,IPR029000;IPR024936;IPR020892;IPR002130;
P0A9L5,,IPR000297;IPR023058;
P0A7B1,PF02503;PF13090;PF13089;,IPR001736;IPR003414;IPR024953;IPR036830;IPR025200;IPR025198;IPR036832;
P23538,PF00391;PF02896;PF01326;,IPR013815;IPR008279;IPR006319;IPR018274;IPR000121;IPR023151;IPR036637;IPR002192;IPR015813;IPR040442;
P0AFL6,PF02541;,IPR022371;IPR003695;IPR030673;
P43671,PF02470;,IPR003399;
P23865,PF11818;PF00595;PF03572;PF17804;,IPR029045;IPR001478;IPR036034;IPR004447;IPR005151;IPR020992;IPR040573;
P0A7I0,PF03462;PF00472;,IPR005139;IPR000352;IPR004373;
P07012,PF03462;PF00472;,IPR005139;IPR000352;IPR004374;
P0A7I4,PF00009;PF03144;PF16658;,IPR035647;IPR004161;IPR031157;IPR027417;IPR004548;IPR032090;IPR038467;IPR005225;IPR000795;IPR009000;
P28369,PF00472;,IPR000352;IPR017509;
P17888,PF00270;PF00271;PF18319;,IPR011545;IPR014001;IPR001650;IPR027417;IPR005259;IPR040498;
P23862,PF07445;,IPR038338;IPR010890;
P39199,PF05175;,IPR002052;IPR004556;IPR017127;IPR029063;IPR007848;
P07004,PF00171;,IPR016161;IPR016163;IPR016162;IPR015590;IPR020593;IPR012134;IPR000965;
P45577,PF04352;PF17516;,IPR023529;IPR016103;IPR036442;IPR035236;
P16659,PF03129;PF00587;PF04073;,IPR002314;IPR006195;IPR004154;IPR036621;IPR002316;IPR004500;IPR023717;IPR033730;IPR036754;IPR007214;
P14175,PF00005;PF00571;,IPR003593;IPR003439;IPR017871;IPR000644;IPR005892;IPR027417;
P77743,PF02954;PF06506;PF00158;,IPR003593;IPR009057;IPR002197;IPR027417;IPR012704;IPR010524;IPR002078;IPR025943;IPR025944;
P0A717,PF14572;PF13793;,IPR000842;IPR029099;IPR000836;IPR029057;IPR005946;IPR037515;
P0AFM6,PF04012;,IPR014319;IPR007157;
P0AFM9,PF06667;,IPR009554;
P0AFN2,PF04024;,IPR014320;IPR007168;
P23857,PF00581;,IPR014323;IPR001763;IPR036873;
P37344,PF02954;PF00158;,IPR003593;IPR009057;IPR002197;IPR027417;IPR002078;IPR025943;IPR025944;IPR014317;
P23830,PF13091;,IPR016270;IPR025202;IPR001736;
P0A9M8,PF07085;PF01515;,IPR010766;IPR016475;IPR027417;IPR004614;IPR002505;IPR028979;
P0A7D1,PF01195;,IPR001328;IPR018171;IPR036416;
P69786,PF00367;PF02378;,IPR036878;IPR018113;IPR003352;IPR013013;IPR001996;IPR011299;IPR004719;
P0AA04,PF00381;,IPR000032;IPR035895;IPR001020;IPR002114;
P08839,PF05524;PF00391;PF02896;,IPR008279;IPR018274;IPR000121;IPR023151;IPR036637;IPR024692;IPR006318;IPR008731;IPR036618;IPR015813;IPR040442;
P69829,PF00359;,IPR016152;IPR002178;IPR006320;
P0A7D4,PF00709;,IPR018220;IPR033128;IPR001114;IPR027417;
P0AB89,PF08328;PF00206;,IPR024083;IPR020557;IPR000362;IPR022761;IPR008948;IPR004769;IPR013539;
P0A7D7,PF01259;,IPR028923;IPR033934;IPR001636;IPR018236;
P15639,PF01808;PF02142;,IPR024051;IPR016193;IPR011607;IPR036914;IPR002695;
P08179,PF00551;,IPR002376;IPR036477;IPR004607;IPR001555;
P0ACP7,PF00356;,IPR000843;IPR010982;IPR028082;IPR023588;
P33221,PF02222;,IPR011761;IPR003135;IPR013815;IPR016185;IPR005862;IPR011054;
P37051,PF01842;PF00551;,IPR002912;IPR002376;IPR036477;IPR004810;
P09546,PF00171;PF01619;PF14850;,IPR016161;IPR016163;IPR016160;IPR029510;IPR016162;IPR015590;IPR013321;IPR025703;IPR005933;IPR029041;IPR024090;IPR024089;IPR024082;IPR002872;IPR010985;
P07117,PF00474;,IPR038377;IPR011851;IPR001734;IPR018212;
P23883,PF00171;,IPR016161;IPR016163;IPR016160;IPR029510;IPR016162;IPR015590;
P76038,PF07722;,IPR029062;IPR017926;IPR011697;
P21599,PF00224;PF02887;,IPR001697;IPR015813;IPR040442;IPR011037;IPR018209;IPR015793;IPR015795;IPR036918;IPR015806;
P0A786,PF00185;PF02729;,IPR006132;IPR006130;IPR036901;IPR002082;IPR006131;
P0A7E3,PF00156;,IPR023031;IPR004467;IPR000836;IPR029057;
P0A7E5,PF06418;PF00117;,IPR029062;IPR004468;IPR017456;IPR017926;IPR033828;IPR027417;
P0A7E9,PF00696;,IPR036393;IPR001048;IPR011817;IPR015963;
P28304,PF08240;PF00107;,IPR013149;IPR013154;IPR011032;IPR036291;IPR020843;IPR002364;
P52076,PF00072;PF00486;,IPR011006;IPR001867;IPR001789;IPR039420;IPR036388;
P15033,,
P37624,PF00005;,IPR003593;IPR000412;IPR003439;IPR017871;IPR027417;
P0A7G2,PF02033;,IPR015946;IPR000238;IPR023799;IPR020053;
P04983,PF00005;,IPR003593;IPR003439;IPR017871;IPR015861;IPR027417;
P02925,PF13407;,IPR028082;IPR025997;
P0AGI1,PF02653;,IPR001851;
P0A9J6,PF00294;,IPR002173;IPR011877;IPR011611;IPR002139;IPR029056;
P0ACQ0,PF00356;,IPR000843;IPR010982;IPR028082;
P0DMC9,PF00196;,IPR030866;IPR016032;IPR000792;IPR036388;
P0DMD0,PF00196;,IPR030866;IPR016032;IPR000792;IPR036388;
P0DMC7,PF00196;PF00072;,IPR011006;IPR030864;IPR016032;IPR001789;IPR000792;IPR036388;
P0DMC8,PF00196;PF00072;,IPR011006;IPR030864;IPR016032;IPR001789;IPR000792;IPR036388;
P39838,PF02518;PF01627;PF16359;,IPR003594;IPR036890;IPR005467;IPR036641;IPR030861;IPR032306;IPR038616;IPR008207;
P36767,PF04381;,IPR007476;
P0A7G6,PF00154;,IPR003593;IPR013765;IPR020584;IPR027417;IPR020588;IPR023400;IPR020587;
P08394,PF12705;PF00580;PF13361;,IPR014017;IPR000212;IPR011604;IPR027417;IPR038726;IPR004586;IPR011335;IPR014016;IPR034739;
P04993,PF13538;,IPR003593;IPR027417;IPR006344;IPR027785;
P15032,PF12684;PF06630;,IPR010584;IPR024432;
P0A7H0,PF02463;,IPR001238;IPR018078;IPR027417;IPR003395;
P24230,PF00270;PF00271;PF17191;,IPR004609;IPR011545;IPR014001;IPR001650;IPR012340;IPR027417;IPR033454;
P21893,PF01368;PF02272;,IPR001667;IPR038763;IPR003156;IPR004610;
P0A7H3,PF02565;PF11967;,IPR037278;IPR022572;IPR012340;IPR003717;
P15043,PF00270;PF00271;PF00570;PF16124;PF09382;,IPR011545;IPR004589;IPR006293;IPR014001;IPR001650;IPR010997;IPR002121;IPR027417;IPR032284;IPR018982;IPR036388;
P0A7H6,PF02132;PF13662;,IPR000093;IPR023627;IPR023628;IPR015967;IPR006171;IPR034137;
P33596,PF02631;,IPR003783;IPR036388;
P0C079,PF04221;,IPR013321;IPR007337;
P09980,PF00580;PF13361;,IPR013986;IPR014017;IPR000212;IPR005752;IPR027417;IPR014016;IPR034739;
P27127,PF13439;PF00534;,IPR001296;IPR028098;
P67910,PF01370;,IPR001509;IPR011912;IPR036291;
P27129,PF01501;PF08437;,IPR002495;IPR013645;IPR029044;
P27243,PF04932;,IPR007016;
P25742,PF01075;,IPR002201;IPR011916;
P37759,PF16363;,IPR005888;IPR016040;IPR036291;
P61887,PF00483;,IPR005907;IPR005835;IPR029044;
P27836,PF03808;,IPR023085;IPR004629;
P09378,PF02311;PF12833;,IPR003313;IPR009057;IPR018060;IPR018062;IPR014710;IPR011051;IPR023699;IPR020449;
P09377,PF02311;PF12833;,IPR003313;IPR009057;IPR037923;IPR018060;IPR018062;IPR014710;IPR020449;IPR023609;
P0A8J8,PF00270;PF00271;,IPR011545;IPR014001;IPR001650;IPR027417;IPR000629;IPR023554;IPR014014;
P25888,PF00270;PF00271;,IPR011545;IPR028622;IPR014001;IPR001650;IPR027417;IPR000629;IPR014014;
P0AG30,PF00006;PF07498;PF07497;,IPR003593;IPR000194;IPR011129;IPR012340;IPR027417;IPR011112;IPR036269;IPR011113;IPR004665;
P16918,PF03527;PF05593;,IPR001826;IPR022385;IPR031325;IPR006530;
P16919,PF14220;PF03527;PF05593;,IPR025479;IPR001826;IPR022385;IPR031325;IPR006530;
P0A7I7,PF00925;,IPR032677;IPR000926;IPR036144;
P0A7J0,PF00926;,IPR017945;IPR000422;
P25539,PF00383;PF01872;,IPR016192;IPR002125;IPR016193;IPR024072;IPR004794;IPR011549;IPR002734;
P0AG40,PF06574;PF01687;,IPR015864;IPR023468;IPR002606;IPR015865;IPR023465;IPR014729;
P22564,PF01156;,IPR015910;IPR001910;IPR023186;IPR022976;IPR036452;
P0A944,PF00583;,IPR006464;IPR016181;IPR000182;
P0A948,PF13302;,IPR016181;IPR000182;
P0A7X6,PF05239;PF01782;,IPR011961;IPR027275;IPR011033;IPR002676;IPR036976;IPR009000;
P63177,PF00588;PF08032;,IPR024915;IPR029028;IPR029064;IPR004441;IPR001537;IPR013123;IPR029026;
P10100,PF03330;PF05036;,IPR034718;IPR009009;IPR036908;IPR012997;IPR007730;IPR036680;
P0ADC1,PF04390;,IPR007485;
P0AA37,PF00849;,IPR020103;IPR006225;IPR006224;IPR006145;
P37765,PF00849;PF01479;,IPR020103;IPR000748;IPR018496;IPR006145;IPR002942;IPR036986;
P0AG71,PF02646;,IPR003798;
P0A7Y0,PF00035;PF14622;,IPR014720;IPR011907;IPR000999;IPR036389;
P09155,PF01612;PF00570;,IPR002562;IPR010997;IPR002121;IPR006292;IPR012337;IPR036397;
P21513,PF12111;PF10150;PF00575;,IPR012340;IPR021968;IPR019307;IPR028878;IPR004659;IPR022967;IPR003029;
P0A9J0,PF10150;PF00575;,IPR012340;IPR019307;IPR004659;IPR022967;IPR003029;
P0AFW4,PF01272;PF14760;,IPR036953;IPR028625;IPR029462;IPR001437;IPR023459;
P21499,PF17876;PF08461;PF08206;PF00773;PF00575;,IPR011129;IPR040476;IPR012340;IPR013223;IPR001900;IPR022966;IPR004476;IPR011805;IPR013668;IPR022967;IPR003029;
P30014,PF00929;,IPR013520;IPR005987;IPR012337;IPR036397;
P0AFW8,PF07073;,IPR009778;IPR038626;IPR023534;
P0AG07,PF00834;,IPR013785;IPR026019;IPR000056;IPR011060;
P0A7L0,PF00687;,IPR005878;IPR002143;IPR023674;IPR028364;IPR016095;IPR023673;
P60422,PF00181;PF03947;,IPR012340;IPR022666;IPR014722;IPR002171;IPR005880;IPR022669;IPR022671;IPR014726;IPR008991;
P60438,PF00297;,IPR000597;IPR019927;IPR019926;IPR009000;
P60723,PF00573;,IPR002136;IPR023574;IPR013005;
P0AG55,PF00347;,IPR000702;IPR020040;IPR036789;IPR019906;IPR002358;
P0A7J3,PF00466;,IPR022973;IPR002363;IPR001790;
P0A7J7,PF00298;PF03946;,IPR000911;IPR036796;IPR006519;IPR020783;IPR036769;IPR020785;IPR020784;
P0A7K2,PF00542;PF16320;,IPR000206;IPR014719;IPR013823;IPR008932;IPR036235;
P0AA10,PF00572;,IPR005822;IPR005823;IPR023563;IPR036899;
P02413,PF00828;,IPR036227;IPR030878;IPR005749;IPR001196;IPR021131;
P0C018,PF00861;,IPR005484;IPR004389;
P0A7K6,PF01245;,IPR038657;IPR001857;IPR018257;IPR008991;
P0AG48,PF00829;,IPR036164;IPR028909;IPR001787;IPR018258;
P0ADZ0,PF00276;,IPR012677;IPR012678;IPR001014;IPR013025;
P68919,PF01386;,IPR020056;IPR029751;IPR011035;IPR020055;
P0A7L8,PF01016;,IPR001684;IPR018261;
P0A7M2,PF00830;,IPR034704;IPR026569;IPR037147;IPR001383;
P0A7M9,PF01197;,IPR034704;IPR002150;IPR027491;
P0A7Q1,PF01632;,IPR021137;IPR018265;IPR001706;IPR037229;
P0A7Q6,PF00444;,IPR000473;IPR035977;
P0A7Z4,PF01000;PF03118;PF01193;,IPR011262;IPR011263;IPR011773;IPR036603;IPR011260;IPR036643;
P0A8V2,PF04563;PF04561;PF04565;PF10385;PF00562;PF04560;,IPR019462;IPR015712;IPR007120;IPR037033;IPR010243;IPR007121;IPR007644;IPR007642;IPR037034;IPR007645;IPR007641;IPR014724;
P0A8T7,PF04997;PF00623;PF04983;PF05000;PF04998;,IPR012754;IPR000722;IPR006592;IPR007080;IPR007066;IPR007083;IPR007081;IPR038120;
P00579,PF04546;PF03979;PF00140;PF04542;PF04539;PF04545;,IPR014284;IPR000943;IPR009042;IPR007627;IPR007624;IPR007630;IPR007631;IPR007127;IPR013325;IPR013324;IPR012760;IPR028630;IPR036388;
P0AGB6,PF04542;PF08281;,IPR039425;IPR014284;IPR000838;IPR007627;IPR013249;IPR014286;IPR013325;IPR013324;IPR036388;
P0AGB3,PF04542;PF04545;,IPR014284;IPR000943;IPR007627;IPR007630;IPR013325;IPR013324;IPR012759;IPR036388;
P24255,PF00309;PF04963;PF04552;,IPR000394;IPR007046;IPR007634;IPR038709;
P13445,PF00140;PF04542;PF04539;PF04545;,IPR014284;IPR000943;IPR009042;IPR007627;IPR007624;IPR007630;IPR013325;IPR013324;IPR012761;IPR036388;
P0A7V0,PF00318;,IPR001865;IPR005706;IPR018130;IPR023591;
P0A7V3,PF07650;PF00189;,IPR004087;IPR015946;IPR004044;IPR009019;IPR005704;IPR001351;IPR036419;IPR018280;
P0A7V8,PF00163;PF01479;,IPR022801;IPR001912;IPR005709;IPR018079;IPR002942;IPR036986;
P0A7W1,PF00333;PF03719;,IPR000851;IPR005712;IPR005324;IPR020568;IPR014721;IPR013810;IPR018192;
P02358,PF01250;,IPR000529;IPR020815;IPR020814;IPR035980;IPR014717;
P02359,PF00177;,IPR000235;IPR005717;IPR020606;IPR023798;IPR036823;
P0A7W7,PF00410;,IPR000630;IPR035987;
P0A7X3,PF00380;,IPR020568;IPR014721;IPR000754;IPR023035;IPR020574;
P0A7R5,PF00338;,IPR001848;IPR018268;IPR027486;IPR036838;
P0A7S3,PF00164;,IPR012340;IPR006032;IPR005679;
P0A7T7,PF01084;,IPR001648;IPR018275;IPR036870;
P0A7U3,PF00203;,IPR002222;IPR005732;IPR020934;IPR023575;
P68679,PF01165;,IPR001911;IPR018278;IPR038380;
P0A8R0,PF03737;,IPR010203;IPR005493;IPR036704;IPR014339;
P36999,PF13847;,IPR025714;IPR016718;IPR029063;
P0AFX4,PF04353;,IPR038309;IPR023785;IPR007448;
P0AFX7,PF03873;PF03872;,IPR005573;IPR005572;IPR036147;IPR026279;
P0AFX9,PF03888;PF17188;,IPR033436;IPR038484;IPR033434;IPR005588;
P39286,PF03193;,IPR030378;IPR027417;IPR004881;IPR010914;
P38104,PF13378;PF02746;,IPR034589;IPR036849;IPR029017;IPR029065;IPR018110;IPR034593;IPR013342;IPR013341;
P38105,PF08240;PF00107;,IPR013149;IPR013154;IPR002328;IPR011032;IPR036291;
P0AFR0,PF01734;,IPR016035;IPR001423;IPR002641;
P0AEV1,PF00072;,IPR011006;IPR036457;IPR028616;IPR001789;IPR039420;
P52108,PF00072;PF00486;,IPR011006;IPR001867;IPR016032;IPR001789;IPR039420;IPR036388;
P77285,PF04205;,IPR007329;IPR010209;
P46850,PF01139;,IPR001233;IPR036025;
P0A809,PF07499;PF01330;,IPR013849;IPR003583;IPR012340;IPR000085;IPR010994;IPR011114;IPR036267;
P0A812,PF05491;PF05496;,IPR003593;IPR004605;IPR027417;IPR008824;IPR008823;IPR036388;IPR036390;
P0A814,PF02075;,IPR012337;IPR036397;IPR020563;IPR002176;
P77551,PF03245;,IPR004929;
P0AAH8,PF00005;,IPR003593;IPR003439;IPR017871;IPR027417;
P04995,PF08411;PF00929;,IPR023607;IPR034748;IPR034747;IPR038649;IPR013620;IPR013520;IPR012337;IPR036397;
P0AG76,PF00149;PF12320;,IPR004843;IPR029052;IPR004593;IPR026843;
P33012,PF06445;,IPR010499;IPR024911;IPR029442;IPR011256;
